Yachtski Score,Artist,Title
74.25,China,Runnin' Around
74.25,Robert Kraft,Just Another Notch on the Bedpost
74.25,Steve Kipner,School Of Broken Hearts
74.0,James Sayer,Still Not Being Over You
74.0,Kenny Loggins,What A Fool Believes
74.0,Lionel Richie,Love Will Find A Way
74.0,Pablo Cruise,Paradise (Let Me Take You Into)
73.75,Dane Donahue,Sunrise on the Water
73.75,Frankie Bleu,Who's Foolin' Who
73.75,Greg Phillinganes,Lazy Nina
73.75,Jolis & Simone,Midnight Lady
73.75,Michael Gonzales,Let It Go
73.75,Phillip Sandifer,New Life
73.75,The Gap Band,The Way
73.5,Bobby Caldwell,What You Won't Do For Love (Old Score)
73.5,John Miles,Close Eyes Count To Ten
73.5,Joseph Williams,That First Night
73.5,Lee Ritenour,Cross My Heart
73.5,Mackey Feary & Nite Life,Stop Running From Love
73.5,Toto,99*
73.25,Donald Fagen,The Nightfly
73.25,Doobie Brothers,You Belong to Me
73.25,Joe English,Midnight Angel Choir
73.25,Leon Ware,Slippin' Away
73.0,Bernie LaBarge,Dream Away
73.0,Jim Schmidt,Serious
73.0,Lava,Take Your Time
73.0,"Leslie, Kelly & John Ford Coley",Go For The Heart
72.75,Steely Dan,Home At Last
72.5,Ambrosia,Biggest Part of Me
72.5,Brenda Russell,Sensitive Man
72.5,Finis Henderson,You Owe It All To Love
72.5,Masaki Matsubara,Silly Crush
72.5,Night Flight Orchestra,Curves
72.5,Randy Goodrum,One Step Ahead of the Bad News
72.5,Steve Marrs,Why Did I Wait So Long
72.5,Terence Boylan,Shame
72.5,Wilson Brothers,Feeling Like We’re Strangers Again
72.25,Far Cry,The Hits Just Keep On Coming
72.25,Max Gronenthal,Lookin’ For A Girl
72.25,Ned Doheny,Get It Up For Love
72.0,Byrne & Barnes,Right Through the Heart
72.0,Carly Simon,You Belong to Me
72.0,Dan Peek,Divine Lady
72.0,James Felix,Open Up
72.0,Rapallo,The Akalite
71.75,"Grover Washington, Jr. w/ Bill Withers",Just the Two Of Us
71.75,Kenny Loggins w/Stevie Nicks,Whenever I Call You Friend
71.75,Leo Sayer,It's Your Move
71.75,Timothy B. Schmit,Tell Me What You Dream
71.75,v6,Den Sidste Dag (The Last Day)
71.5,Benny Hester,Come Back
71.5,Rite On Time,You Think I Go Waiting
71.5,Toto,Georgy Porgy
71.25,Boz Scaggs,Jojo
71.25,Dan Seals,Love Me Like The Last Time
71.25,Johnny Mathis & Deniece Williams,So Deep In Love
71.25,Marlene with Seawind,Let Yourself Go
71.25,Michael Jackson,It's the Falling in Love
71.25,Quincy Jones w/ James Ingram,One Hundred Ways
71.25,Robbie Dupree,Love Is a Mystery
71.0,Airplay,Bix
71.0,Ruiko Kurahashi,24-Dec
70.75,Atlanta Rhythm Section,Going to Shangri-La
70.75,DeBarge,Time Will Reveal
70.75,Dusty Springfield,Closet Man
70.75,Eric Carmen,Change of Heart
70.75,Michael Jackson,Lady In My Life
70.75,Michael Johnson,Right Through the Heart
70.75,Russ Taff,Walls of Glass
70.75,Tycoon,One More Try
70.5,Dane Donohue,Tracey
70.5,Pointer Sisters,I Need You
70.5,Vapour Trails,Night People
70.25,Byrne and Barnes,Eye for an Eye
70.25,Dan Seals,You Could've Been The One
70.25,DeBarge,It’s Getting Stronger
70.25,George Duke,Say That You Will
70.25,Nielsen/Pearson,Don't Let Me Go
70.25,Pages,Only a Dreamer
70.0,Al Jarreau,Gimme What You Got
70.0,Christopher Cross,Mary Ann
70.0,Dave Grusin,Haunting Me
70.0,George Benson,Never Too Far To Fall
70.0,GLAD,Two Are Better Than One
70.0,Ian Thomas,I Am the One
70.0,James Ward,Take Hold
70.0,Jeff Saxon,Makin' It Up
70.0,Joe Chemay Band,Never Gonna Let You Go
70.0,Kenny Rogers,Heart To Heart
70.0,Maxus,Don't Try To Stop Me Now
70.0,Valerie Carter,Crazy
69.75,Carrera,One More Love
69.75,"George Duke, Stanley Clarke",Touch And Go
69.75,Michael Miglio,Never Gonna Let You Go
69.75,Paulinho Da Costa,Seeing Is Believing
69.75,Paulinho Da Costa,Seeing Is Believing
69.75,Ray Parker Jr.,Bad Boy
69.75,Wilson Bros.,Take Me To Your Heaven
69.5,Atlanta Rhythm Section,So Into You
69.5,Deniece Williams,When Love Comes Calling
69.5,Larry Carlton,Room 335
69.5,Michael Martin Murphey,Nothing Is Your Own
69.5,Patsy Gallant,It’ll All Come Around
69.5,Pure Prairie League,I Can't Stop This Feelin'
69.5,Rasa,Questions On My Mind
69.25,Billy Griffin,Hold Me Tighter In The Rain
69.25,Pointer Sisters,Nothin' But a Heartache
69.25,Stimela,I Wanna Know
69.0,Ambrosia,You're the Only Woman
69.0,Amy Holland,Rollin’ By
69.0,Bill Wolfer,Call Me
69.0,Bobby Caldwell,Fraulein
69.0,Future Flight,You Should've Been There
69.0,Jennifer Madsen,When You Love Somebody
